,    addr,   b,   i,   s,   w,   a,,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x5fd80,0,0.0303030303,0,0.03125,0.0322580645,0,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x5fd80,0,0.0303030303,0,0.03125,0.0322580645,0,0,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x60140,0.0322580645,0.0606060606,0.0625,0.0322580645,0.0625,0.0322580645,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x60140,0.0322580645,0.0606060606,0.0625,0.0322580645,0.0625,0.0322580645,0.0322580645,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0x6ea00,0.2580645161,0.1142857143,0.3333333333,0.25,0.25,0.1142857143,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0xbabc0,0.0666666667,0.064516129,0,0.0666666667,0,0,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0xbabc0,0.0666666667,0.064516129,0,0.0666666667,0,0,0,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0xbb580,0.0625,0.0666666667,0.0606060606,0.0967741935,0.0606060606,0.0967741935,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0xbb600,0,0.0303030303,0.0666666667,0.0303030303,0.03125,0,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0xbb600,0,0.0303030303,0.0666666667,0.0303030303,0.03125,0,0.0666666667,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0xbb640,0.0606060606,0.064516129,0.0606060606,0.0625,0,0,,,
,,,,,,,,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0xbb680,0.09375,0,0.0294117647,0.0322580645,0.0322580645,0.09375,,,
/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19, 0xbbac0,0.0625,0.0588235294,0.1034482759,0.0967741935,0.7096774194,0.7096774194,,,
,,,,,,,,,,
